type,re,subject,the,erin
Train,0.0,1.0,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,0.0,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,0.0
Train,0.0,0.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.3438028174162574,0.27285490919821487,0.8985264722105173,1.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,0.0,1.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.35736288224143814,0.0,0.9339656152108021,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,0.5191003776210682,0.854713284062945,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.19842094421876952,0.980116895525902,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.5191003776210682,0.854713284062945,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,0.5191003776210682,0.854713284062945,0.0
Train,0.0,0.0,1.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,0.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.35736288224143814,0.0,0.9339656152108021,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,0.0
Train,0.3438028174162574,0.27285490919821487,0.8985264722105173,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,1.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,0.0,1.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,1.0
Train,0.0,0.0,0.0,0.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,0.0
Train,0.0,0.5191003776210682,0.854713284062945,0.0
Train,0.0,1.0,0.0,0.0
Train,0.0,0.5191003776210682,0.854713284062945,0.0
Train,0.0,0.0,1.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,0.0,1.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.5191003776210682,0.854713284062945,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.5473848009752819,0.4344252652989772,0.7152933443917707,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,0.0,1.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,1.0,0.0,0.0
Train,0.0,0.0,1.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,1.0,0.0,0.0
Train,0.3438028174162574,0.27285490919821487,0.8985264722105173,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,0.0
Train,0.0,0.0,0.0,0.0
Train,0.7832938617209669,0.6216516115882389,0.0,1.0
Train,0.0,0.5191003776210682,0.854713284062945,0.0
