authors,text
2,Subject:Zach McCarrollCan you get together with Zach on Thursday or Friday and walk him through a simple book.  Take Jane Tholt's book and discuss Risk 101.
2,"Subject:RE: risk overviewKam,"
2,"Subject:risk overviewZach,"
2,Subject:transport model
2,Subject:RE: new org regionsKam/Russ:
2,Subject:new org regionsCan you please change the org regions for the attached books.
2,"Subject: EOL ProductsHi Kam,"
2,"Subject: WeddingHey guys,"
2,"Subject:Questionable Deals in 200112 Accrual.xlsKam - I've had the coordinators go through all of the terminated counterparties, and here is another list of deals we are questioning.  Can Risk review the deals that are demand charges/triggers and either verify their validity or zero them out?  I'm meeting with Logistics this afternoon to review the deals that flowed past the termination dates to ensure that they are correct.  This needs to be done today if possible, as we will have to run the accrual on Monday.  Thanks. << File: Questionable Deals in 200112 Accrual.xls >>"
2,Subject:FW: FYI
2,"Subject:Hal,"
2,"Subject: 12/31/01 DPRWe are trying to wrap up the year end reporting this week.  Please let me know if you are still having issues reporting and/or when to expect the year end data.  Some of you may not be familiar with the ""export"" process to get data to the Consolidated DPR.  If not, please call me and I can help."
2,"Subject:RE: risk books for DecemberThese are the official post-id's from Dec 31st for all live deals. We didn't have a ""performance"" book until January.   I included Canada and EMW at the bottom if needed."
2,Subject:FW: risk books for DecemberCan you provide the following?
2,"Subject:RE: risk books for DecemberList of the final Post ID for the Estate,Bankruptcy and Performing Post ID's for gas and Power."
2,Subject:RE: risk books for DecemberWhat exactly do you need for Dec?
2,"Subject:FW: risk books for DecemberDo y'all know when the books will be final for December - I had hopes of being able to utilize the people going to UBS, so if you can give me a status I would appreciate it."
2,"Subject:risk books for DecemberI am following up to see where we stand on the risk books for December.  My understanding is that we will have at least 3 categories:  legally terminated, not performing but not terminated, and still performing."
2,"Subject:RE: estate bookDear Kam,"
2,"Subject:estate bookSusan,"
2,Subject:RE: Book requestsAnything new on this?
2,"Subject:RE: Book requestsTracey,"
2,Subject:FW: Book requestsCan you figure something out for these guys?
2,"Subject:FW: Book requestsJeff,"
2,Subject:FW: Book requestsHere you go!
2,Subject:FW: Book requestsHow about Canada?
2,Subject:Book requests << File: Book Request Form  Financial final.xls >>  << File: Book Request Form Central final.xls >>  << File: Book Request Form East final.xls >>  << File: Book Request Form Texas final.xls >>  << File: Book Request Form West final.xls >>
2,"Subject:Deals zeroed out for prior months - not just Dec-01Kam - these deals were zeroed out for all months, not just Dec-01.  I need the demand charge put back in for the missing months:"
2,"Subject:UBS tradersKam,"
2,"Subject: EWS DPR 1/31/02While our established schedules of Tuesday and Friday DPR's would have us reporting tomorrow's activity on Monday, we will change that for month end.  Please email the January 31st DPR information for your respective groups to my attention by noon on Friday.  You should use the same spreadsheet format used for the 1/29/02 DPR.  All p&l and PRMA numbers should be in $'000's."
2,"Subject:RE: risk overviewKam,"
2,"Subject:risk overviewZach,"
2,Subject:FW: terminated vs non-terminated - requestEnjoy.
2,"Subject:terminated vs non-terminated - requestNow that we have almost all of the Form A information , E&Y needs form B filled out for all commodities.  We would like to have this as of the deals on 1/31/02."
2,"Subject:WestWe have just decided to divide the western region into two groups.  I will be heading up the Rockies/NW and Northern California, while Phillip Allen heads up the Southwest and Southern California.  Think about whether or not you  would like to change how you serve our groups going forward.  We will need to divide the curve files to reflect the separate regions.  The Southwest will be defined as EP SJ and EP Permian.  P&L summary reports will be separated into two groups."
2,"Subject:Index ChangeKam,"
2,"Subject:FW: new org regionsKam,"
2,Subject:RE: new org regionsOne more thing - Financial (long/short name and org. region) is lowercase whereas all the other books are uppercase?
2,Subject:FW: new org regionsRegarding issue (1) below:
2,Subject:RE: new org regions(1) What are the book names/codes for Canadian P/B/I?
2,Subject:RE: new org regionsAll regions have been created and changed in estermtp database.
2,Subject:new org regionsCan you please change the org regions for the attached books.
2,Subject: Valero at Enron Job Fair on FridayHey guys just thought I would let you know that Valero is going to be at
2,"Subject:Physical Deals???Kam,"
2,"Subject:PanNatSee attached Summary Sheet, they all seem to be the same Tagg #'s with different legs."
2,Subject: Compare life insurance rates.. . . . ..
2,Subject:FW: New Gas Book RequestCan Cecilia do what she has requested below?
2,"Subject:FW: New Gas Book RequestShould I go ahead and create the following books in ERMTT, ERMTP & ESTERMTP?  Thanks."
2,Subject:RE: New Books for West?We are advised that we should wait for further instructions from Stacey White on this.  Will let you know as soon as we know the codes.
2,Subject:RE: New Books for West?Haven't heard back from you on the book codes.  Let me know if you get the book codes assigned and I'll create the books here.
2,Subject:RE: New Gas Book RequestSorry I forgot to attach the completed sheet.
2,"Subject:RE: New Gas Book RequestJon,"
2,"Subject:New Gas Book RequestWe have already created gas books for the top half of the list.  We now need to attach Gas Daily (I and Y risk types)to these books.  Also, we need to create gas books for the bottom half of the list, as well as, attach Gas Daily (I and Y risk types)."
2,Subject: FW: We made the big time
2,Subject:Counterparties w/Master Agreements with ECCThis is how the logic is now within UBSWenergy.com:
2,Subject: FW: Application FormsUBS have been delayed coming into our office.   The will be available in 5C2 from 9:45 am onwards.
2,Subject: Application FormsPlease come by 5C2 at your convenience tomorrow as UBS require you to complete missing information on your application form.
